tourney_date,winner_id,loser_id,winner_name,loser_name,diff_rank,diff_elo_global,diff_elo_surface,diff_avg_aces,diff_avg_dfs,diff_p1_in,diff_p1_won,diff_momentum,diff_h2h,surface_code
2024-01-01,111190,208103,Zhizhen Zhang,Jiri Lehecka,-27.0,-5.949587690439785,-38.58746668007211,1.2778000802890412,-0.5160578081091931,-0.0042262532240628925,0.014855328098273723,3,0,0
2024-01-01,100644,105173,Alexander Zverev,Adrian Mannarino,15.0,150.2523293725726,129.99656424136288,3.8346625904779037,1.5132041541159014,0.07391969562696676,0.04796667076835748,1,6,0
2024-01-01,105173,132283,Adrian Mannarino,Lorenzo Sonego,24.0,90.07547344215345,84.25723933417771,-0.9318716489769123,0.49648484516905556,-0.0543412892293208,-0.021121825109771453,0,-1,0
2024-01-01,200325,200303,Emil Ruusuvuori,Pavel Kotov,-2.0,65.72879208401946,128.1110663246302,0.9953216374269003,0.4725146198830412,0.00652301027976776,0.012071578780592396,-2,0,0
2024-01-01,111815,200282,Cameron Norrie,Alex De Minaur,-6.0,-174.06287324584105,-175.03080746761134,1.0752499457711346,0.3345230817771294,0.05651128226941948,-0.0031865823802361692,-4,-1,0
2024-01-01,200282,126203,Alex De Minaur,Taylor Fritz,-2.0,-3.413093291956102,-40.975753961979535,-5.870257452574526,0.032934357121348956,-0.0028271468887378637,-0.05775950859145995,-2,1,0
2024-01-01,106432,134868,Borna Coric,Tallon Griekspoor,-14.0,-47.93740049633061,-2.376072941824077,-1.4306843620083152,-1.0714742564758555,-0.008890127538389803,-0.0021894211891355653,-1,1,0
2024-01-01,126094,106281,Andrey Rublev,Liam Broady,103.0,328.46918999993613,287.02806548228523,3.9071743642968344,0.02464971458225218,0.0014736733216338394,0.0938750654726489,1,0,0
2024-01-01,122298,208278,Botic Van De Zandschulp,Shintaro Mochizuki,87.0,170.49368505796406,186.89231731243626,4.174209245742093,1.2019464720194648,0.04354795882155926,0.08397660818713448,2,0,0
2024-01-01,126207,200175,Frances Tiafoe,Miomir Kecmanovic,38.0,53.3194419303552,15.476361321013883,3.349743814961206,0.42129995608256454,-0.0012038873192129484,0.03156909434061883,-2,3,0
2024-01-01,200325,126127,Emil Ruusuvuori,Benjamin Bonzi,4.0,133.00733115837852,112.09934682262792,-2.2987192365645397,0.6630462079357105,0.0436119927436146,-0.02568520897144555,3,-2,0
2024-01-01,126203,111815,Taylor Fritz,Cameron Norrie,8.0,114.50605954548132,151.24556843135406,4.802701789935832,-0.364403917595407,-0.05374768504488403,0.060389141096440446,3,1,0
2024-01-01,200303,132686,Pavel Kotov,Nuno Borges,-1.0,94.63231659312419,31.561998520226553,-0.4615384615384617,0.17948717948717974,-0.003737153197040932,0.0013015244664985604,2,0,0
2024-01-01,207518,208597,Lorenzo Musetti,Chak Lam Coleman Wong,1473.0,123.52881791864979,45.812912272181165,3.4792899408284024,2.1538461538461537,0.6427778658633264,0.6927725703009373,3,0,0
2024-01-01,105138,206681,Roberto Bautista Agut,Fabian Marozsan,7.0,-30.594645026413218,7.991087421955626,-1.0945017182130585,-0.12336769759450172,0.006789097206129857,-0.008727235757692964,-3,-1,0
2024-01-01,124116,111456,Sebastian Ofner,Mackenzie Mcdonald,-2.0,-70.77274777141292,-120.53870161817531,1.3026143790849671,0.6202614379084967,-0.06952543749799633,0.025644616457995872,0,0,0
2024-01-01,105526,105227,Jan Lennard Struff,Marin Cilic,649.0,-73.55833281136483,-115.6358521387076,-0.4851988438154091,-0.14048639489684023,-0.02220830374522209,-0.01711755707133944,0,1,0
2024-01-01,209992,111513,Juncheng Shang,Laslo Djere,-150.0,-188.89817385398283,-91.13734734908371,-2.800980392156863,-0.9034313725490195,0.036841609098984374,-0.06001333478598847,-2,0,0
2024-01-01,200175,106121,Miomir Kecmanovic,Taro Daniel,21.0,74.0169592189061,70.9822368735779,-0.1631493506493502,-0.6580086580086579,-0.00130516730184016,0.017706896551724194,2,0,0
2024-01-01,209950,127339,Arthur Fils,Borna Gojo,36.0,6.225641006602018,-45.77407143314758,-3.5384615384615374,0.26923076923076916,-0.046787552245527886,-0.007373803968555803,-2,0,0
